mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-581990	Bi3Rh	As3T	16	1D or 2D	128	8	32	2	Pnma	mmm	TRUE	0	-0.150346144	0.015926209	P2_1/m	FALSE	2/m
mp-772282	Sb4I2O5	As4F2O5	22	1D or 2D	176	22	88	2	P2_1/c	2/m	FALSE	1.9298	-1.442289001	0	P2_1/c	FALSE	2/m
mp-27700	Sb4Br2O5	As4F2O5	22	1D or 2D	176	22	88	2	P2_1/c	2/m	FALSE	2.376	-1.534723378	0	P2_1/c	FALSE	2/m
mp-753445	Sb4O5F2	As4O5F2	22	1D or 2D	176	22	88	2	P2_1/c	2/m	FALSE	2.9422	-1.904722116	0.024679152	P2_1/c	FALSE	2/m
mp-753699	Bi4O5F2	As4O5F2	22	1D or 2D	176	22	88	2	P2_1/c	2/m	FALSE	3.1726	-1.806591483	0.083092896	P2_1/c	FALSE	2/m
mp-28229	Bi4Te3	As4S3	7	1D or 2D	56	5	20	2	R-3m	-3m	TRUE	0.0461	-0.172564357	0	R-3m	TRUE	-3m
mp-27607	Bi4Se3	As4S3	7	1D or 2D	56	5	20	2	R-3m	-3m	TRUE	0.0573	-0.272658994	0.006280466	R-3m	TRUE	-3m
mp-23005	Bi4Te7Pb	As4S7Sn	12	1D or 2D	96	7	28	2	P-3m1	-3m	TRUE	0.4239	-0.266251049	0.000529053	P-3m1	TRUE	-3m
mp-759743	Sb5O7F	As5O7F	52	1D or 2D	416	26	104	2	P2_1/c	2/m	FALSE	3.1066	-1.783582314	0.052667793	Pc	FALSE	m
mp-649982	Sb8(Pb3S7)3	As8(Sn3S7)3	76	1D or 2D	608	38	152	2	C2/c	2/m	TRUE	1.5116	-0.388790923	0.006718965	C2	FALSE	2
mp-758203	Sb8Cl2O11	As8F2O11	42	1D or 2D	336	42	168	2	P2_1/c	2/m	FALSE	2.1307	-1.660540465	0.073755683	P2_1/c	FALSE	2/m
mp-759873	Sb8O11F2	As8O11F2	42	1D or 2D	336	42	168	2	P2_1/c	2/m	FALSE	2.25	-1.77621617	0.076298426	P2_1/c	FALSE	2/m
mp-12826	Sb8Te3	As8S3	11	1D or 2D	88	5	20	2	R-3m	-3m	TRUE	0	-0.056463011	0.014837999	R-3m	TRUE	-3m
mp-680214	Bi8Se7	As8S7	45	1D or 2D	360	5	20	2	P3m1	3m	FALSE	0.0104	-0.295055993	0.008678085	P3m1	FALSE	3m
mp-580062	Bi8Te9	As8S9	17	1D or 2D	136	5	20	2	R-3m	-3m	TRUE	0.075	-0.211816341	0		FALSE	
mp-642227	Sb8Pb5S17	As8Sn5S17	60	1D or 2D	480	30	120	2	C2/c	2/m	TRUE	1.4318	-0.352436707	0.003772357	C2	FALSE	2
mp-755382	BiSbO3	AsAsO3	10	1D or 2D	80	10	40	2	P-1	-1	TRUE	2.1016	-1.636174718	0.085766995	P-1	TRUE	-1
mp-28109	SbAsO3	AsAsO3	20	1D or 2D	160	10	40	2	P2_1/c	2/m	FALSE	3.5025	-1.713834214	0	Pc	FALSE	m
mp-7784	SbAsO4	AsAsO4	12	1D or 2D	96	12	48	2	P2_1/m	2/m	FALSE	3.0829	-1.744596594	0.010909418	P2_1/m	FALSE	2/m
mp-23281	SbI3	AsF3	8	1D or 2D	64	8	32	2	R-3	-3	TRUE	2.1446	-0.363391871	0	R-3	TRUE	-3
mp-569157	BiI3	AsF3	8	1D or 2D	64	8	32	2	P-31m	-3m	TRUE	2.4854	-0.486452467	0.000613949	P-31m	TRUE	-3m
mp-22849	BiI3	AsF3	8	1D or 2D	64	8	32	2	R-3	-3	TRUE	2.5339	-0.487066416	0	R-3	TRUE	-3
mp-610430	BiBr3	AsF3	16	1D or 2D	128	16	64	2	P2_1/c	2/m	FALSE	2.5955	-0.718238382	0.061875213	P2_1/c	FALSE	2/m
mp-568301	BiBr3	AsF3	8	1D or 2D	64	8	32	2	C2/m	2/m	TRUE	2.8692	-0.778058109	0.002055485	C2/m	TRUE	2/m
mp-752602	BiBr3	AsF3	16	1D or 2D	128	16	64	2	P2_1/c	2/m	FALSE	2.8714	-0.780113594	0	P2_1/c	FALSE	2/m
mp-1880	SbF3	AsF3	8	1D or 2D	64	8	32	2	Ama2	mm2	FALSE	4.4381	-2.357974559	0	Pmn2_1	FALSE	mm2
mp-27238	SbXeF9	AsHeF9	44	1D or 2D	352	44	176	2	P2_1/c	2/m	FALSE	2.1416	-1.437252787	0.000441372	P2_1/c	FALSE	2/m
mp-581609	BiP(PbO2)4	AsN(SnO2)4	28	1D or 2D	224	28	112	2	P-1	-1	TRUE	2.5484	-1.922206666	0.000331014	P-1	TRUE	-1
mp-770401	SbPO4	AsNO4	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	3.342	-2.316907175	0.056845369	Pmc2_1	FALSE	mm2
mp-3439	SbPO4	AsNO4	12	1D or 2D	96	12	48	2	P2_1/m	2/m	FALSE	3.9963	-2.373752544	0	P2_1/m	FALSE	2/m
mp-8140	AsPO4	AsNO4	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	4.5679	-2.217480684	0	Pmn2_1	FALSE	mm2
mp-27356	AsO2	AsO2	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	3.3566	-1.601016255	0.002175682	Pmn2_1	FALSE	mm2
mp-753673	BiOF	AsOF	24	1D or 2D	192	18	72	2	P2_1/m	2/m	FALSE	2.3179	-1.998577207	0.08262083	P2_1/m	FALSE	2/m
mp-756654	SbOF	AsOF	12	1D or 2D	96	6	24	2	Pnma	mmm	TRUE	2.7582	-1.98096196	0.082990984	Pmn2_1	FALSE	mm2
mp-759883	BiOF	AsOF	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	2.9652	-2.071456799	0.009741238	R-3m	TRUE	-3m
mp-753661	SbOF	AsOF	12	1D or 2D	96	12	48	2	P2_1/c	2/m	FALSE	3.1757	-2.007182562	0.056770383	P2_1/c	FALSE	2/m
mp-760162	BiOF	AsOF	48	1D or 2D	384	24	96	2	Pbca	mmm	TRUE	3.2117	-2.063802888	0.017395149	P2_1/c	FALSE	2/m
mp-752949	BiOF	AsOF	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	3.2938	-2.046539207	0.03465883	R-3m	TRUE	-3m
mp-561533	SbOF	AsOF	48	1D or 2D	384	24	96	2	Pbca	mmm	TRUE	3.3227	-2.063952945	0	P2_1/c	FALSE	2/m
mp-759750	BiOF	AsOF	36	1D or 2D	288	36	144	2	P2_1/c	2/m	FALSE	3.338	-1.997410819	0.083787218	P2_1/c	FALSE	2/m
mp-757111	SbOF3	AsOF3	20	1D or 2D	160	20	80	2	P-1	-1	TRUE	2.5195	-2.075427195	0	P-1	TRUE	-1
mp-27902	BiSe	AsS	12	1D or 2D	96	5	20	2	P-3m1	-3m	TRUE	0.1476	-0.320042828	0.005386542	P3m1	FALSE	3m
mp-7716	SbTe	AsS	12	1D or 2D	96	5	20	2	P-3m1	-3m	TRUE	0.1707	-0.102062582	0.009531962	P3m1	FALSE	3m
mp-23224	BiTe	AsS	12	1D or 2D	96	5	20	2	P-3m1	-3m	TRUE	0.1997	-0.198824222	0.001543624	P3m1	FALSE	3m
mp-33723	BiTeBr	AsSF	3	1D or 2D	24	3	12	2	P3m1	3m	FALSE	1.2233	-0.509744516	0	P3m1	FALSE	3m
mp-22965	BiTeI	AsSF	3	1D or 2D	24	3	12	2	P3m1	3m	FALSE	1.2742	-0.374899493	0	P3m1	FALSE	3m
mp-28944	BiTeCl	AsSF	6	1D or 2D	48	3	12	2	P6_3mc	6mm	FALSE	1.5135	-0.797341106	0	P3m1	FALSE	3m
mp-559332	BiTeIO3	AsSFO3	24	1D or 2D	192	24	96	2	P2_1/c	2/m	FALSE	2.3721	-1.357935852	0.007582046	P2_1/c	FALSE	2/m
mp-541774	BiAuBr6	AsTF6	32	1D or 2D	256	32	128	2	P-1	-1	TRUE	1.1255	-0.467483895	0.001901739	P-1	TRUE	-1
mp-10021	Ga	B	2	1D or 2D	16	2	8	2	Cmcm	mmm	TRUE	0.0994	0.00478131	0.00478131	Pmma	TRUE	mmm
mp-23559	In(IO3)3	B(FO3)3	26	1D or 2D	208	26	104	2	R-3	-3	TRUE	3.0681	-1.05221126	0.00513815	R-3	TRUE	-3
mp-626481	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	3.8282	-2.067059492	0.069570224	P1	FALSE	1
mp-626568	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	3.8913	-2.075518094	0.061111623	P1	FALSE	1
mp-626467	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	4.0103	-2.068016072	0.068613644	P1	FALSE	1
mp-625807	Al(HO)3	B(HO)3	56	1D or 2D	448	29	116	2	P1	1	FALSE	4.3037	-2.077410233	0.059219483	P1	FALSE	1
mp-626094	Al(HO)3	B(HO)3	56	1D or 2D	448	29	116	2	P1	1	FALSE	4.3399	-2.094144537	0.04248518	P1	FALSE	1
mp-626073	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	4.574	-2.059432626	0.077197091	P1	FALSE	1
mp-626500	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.5759	-2.082410515	0.054219202	P1	FALSE	1
mp-626074	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1	2	FALSE	4.615	-2.098685951	0.037943766	P1	FALSE	1
mp-625320	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.6972	-2.088739334	0.047890383	P1	FALSE	1
mp-626497	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	Cm	m	FALSE	4.6973	-2.099053749	0.037575968	Cm	FALSE	m
mp-625762	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.7202	-2.089641461	0.046988256	P1	FALSE	1
mp-626504	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.7476	-2.095579645	0.041050072	P1	FALSE	1
mp-626414	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P1	1	FALSE	4.7632	-2.104507037	0.03212268	P1	FALSE	1
mp-626605	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pbca	mmm	TRUE	4.7793	-2.094538838	0.042090879	P2_1/c	FALSE	2/m
